Type	GEO (Labels)	GEO (Codes)	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
"AGG
"	European Union (aggregate changing according to the context)	EU_V	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
"AGG
"	European Union - 27 countries (from 2020)	EU27_2020	165343	81008	106590	420001	21259	224611	129562	79374	34472	74999	25353	123474	396596	10001	35811	127843	70799	162724	293169	325618	241058	56370	631220
MS	Belgium	BE	0	0	0	301	0	0	0	0	0	0	0	4105	0	109	12	0	0	3082	5364	2195	14041	1	16248
MS	Bulgaria	BG	50059	39792	2282	4320	106	2	0	11663	372	2490	3	255	1355	147	34	20	18	1650	13	123	9008	275	5183
MS	Czechia	CZ	5728	943	888	15382	2414	6	47	3425	27	19	6	51	4612	0	215	6086	10	3377	20371	8240	1902	31	5571
MS	Denmark	DK	12	0	0	24	136	64	94	0	340	414	13	59	31	488	52	0	2	7	18426	439	194	12	6439
MS	Germany	DE	153	48	0	61964	2301	57	279	168	9	173	4	14220	3456	2	1089	9538	482	2259	86918	67919	66100	354	66991
MS	Estonia	EE	43	0	4415	1710	0	0	30856	0	0	0	0	1	0	3	11	170	233	226	13469	3214	2	646	3079
MS	Ireland	IE	0	0	0	690	16	0	165	0	1	3	31	3	2	978	231	2	0	24	1052	25	61	141	3638
MS	Greece	EL	27986	13141	149	42	24	15	1	12251	6234	435	1350	104	5497	920	289	27	9636	3451	3374	424	1605	5107	5790
MS	Spain	ES	13095	5412	12430	4816	24	139565	9570	990	4076	38610	975	8908	150313	101	16647	8498	21797	28849	1940	28017	148	2367	46481
MS	France	FR	26	279	5087	107990	2083	20358	1413	2438	3307	2228	8753	70682	12960	8	1229	1324	3514	28016	2040	62266	58017	1321	229592
MS	Croatia	HR	6651	1	53	20624	0	0	0	282	2	179	0	5300	20017	1	6	634	2	5680	49	72	1487	507	15651
MS	Italy	IT	11532	10979	24908	14944	504	1436	4204	19679	10568	1771	1095	5717	29948	703	670	2707	6286	48356	2643	2366	4732	7590	52265
MS	Cyprus	CY	47	0	0	0	0	0	165	11	4333	0	0	37	0	1	5023	0	4454	749	1203	0	5	568	197
MS	Latvia	LV	360	0	8904	8092	7	0	15296	0	241	2518	5010	9	34	161	522	228	539	135	5043	12641	1171	1632	869
MS	Lithuania	LT	8	0	18618	3650	0	14	5580	0	1432	1198	254	0	25	0	2	1304	69	5	11963	32239	2814	267	19
MS	Luxembourg	LU	0	0	0	0	0	0	0	0	0	0	0	1105	0	0	0	0	0	342	568	764	1913	0	1855
MS	Hungary	HU	2860	393	3279	16764	0	0	0	5394	0	422	0	434	40308	0	418	3304	0	2100	0	1021	345	1217	19962
MS	Malta	MT	0	0	21	0	0	0	0	0	0	0	148	0	0	78	0	0	230	0	49	0	2	3	3
MS	Netherlands	NL	0	0	0	73	1	0	0	0	0	1	0	1	0	0	9	0	9	15	11964	2038	6410	0	5037
MS	Austria	AT	4332	6075	2817	23954	1405	450	605	2328	27	70	1068	1744	2297	6	25	5953	138	2076	6694	2449	351	929	7458
MS	Poland	PL	7344	28	6797	48901	8068	4778	18263	759	43	49	31	1	25342	835	641	65308	13162	3776	24115	53992	11442	4679	27173
MS	Portugal	PT	0	1	3420	0	4	57069	38	0	277	14073	5	2483	34331	38	66	3839	0	2029	21	3560	24	3	31267
MS	Romania	RO	32962	3849	5056	36254	1228	0	0	18561	1065	3019	0	514	48038	3107	1552	5021	719	3520	121	952	32200	300	34462
MS	Slovenia	SI	1572	1	124	8502	1	1	2	74	0	6	6	1211	3783	16	0	114	50	2189	52	116	231	409	10574
MS	Slovakia	SK	576	0	338	8806	23	0	13	585	0	17	0	16	14123	873	476	4758	525	3816	1100	499	44	119	10100
